font_id,name_en,name_zh
1361350423484,AR MingB5 MD,文鼎明體_M
1361353753007,AR MingB5 HV,文鼎明體_H
1361354339326,AR HeiB5 MD,文鼎黑體_M
1361354834958,AR HeiB5 BD,文鼎黑體_B
1361355108526,AR NewHeiB5 MD,文鼎新黑體_M
1361410602265,AR NewHeiB5 BD,文鼎新黑體_B
1361412275009,AR YuanB5 MD,文鼎圓體_M
1361412658533,AR YuanB5 BD,文鼎圓體_B
1361413105098,AR StdSongB5 MD,文鼎標準宋體_M
1361414071470,AR StdSongB5 BD,文鼎標準宋體_B
1361414336983,AR StdKaiB5 MD,文鼎標準楷體_M
1361414761102,AR StdKaiB5 BD,文鼎標準楷體_B
1361415252465,AR FangSongB5 MD,文鼎仿宋_M
1361415577873,AR FangSongB5 BD,文鼎仿宋_B
1361416288919,AR KaiB5 MD,文鼎楷體_M
1361416868280,AR LiShuB5 MD,文鼎隸書_M
1361417660600,AR XingShuB5 MD,文鼎行書_M
1361418232989,AR LiShuB5 DB,文鼎隸書_D
1361418551165,AR WeiBeiB5 BD,文鼎魏碑_B
1361419003158,AR XingKaiB5 BD,文鼎行楷_B
1361419570224,AR YanKaiB5 HV,文鼎顏楷_H
1361424820273,AR MaoKaiB5 BD,文鼎毛楷_B
1361425806533,AR MaoKaiB5 EB,文鼎毛楷_E
1361426164204,AR GangBiXingKaiB5 MD,文鼎鋼筆行楷_M
1361426607269,AR GangBiXingKaiB5 BD,文鼎鋼筆行楷_B
1361426947945,AR GuangGaoB5 MD,文鼎廣告體_M
1361427779028,AR GuangGaoB5 BD,文鼎廣告體_B
1361428229103,AR GuangGaoB5 EB,文鼎廣告體_E
1361429035018,AR Pop2B5 BD,文鼎ＰＯＰ－２_B
1361429411452,AR Pop4B5 BD,文鼎ＰＯＰ－４_B
1361442892741,AR BanKePOPB5 EB,文鼎板刻ＰＯＰ體_E
1361443107776,AR XinYiB5 UL,文鼎新藝體_U
1361443316835,AR KanTingLiuB5 UL,文鼎勘亭流_U
1361443663679,AR GuYinB5 BD,文鼎古印體_B
1361443899544,AR XinChaoPOPB5 HV,文鼎新潮ＰＯＰ體_H
1361444158531,AR QiaoHeiB5 EB,文鼎俏黑體_E
1361498483843,AR QianZiBiB5 EB,文鼎簽字筆體_E
1361499046178,AR TianNiuB5 BD,文鼎甜妞體_B
1361500173526,AR TianNiuB5 HV,文鼎甜妞體_H
1361501273446,AR PiLiB5 UL,文鼎霹靂體_U
1361502080338,AR JingJiB5 MD,文鼎荊棘體_M
1361502641076,AR SheiDeZiB5 MD,文鼎誰的字體_M
